"","SRR1166442_Aligned.sortedByCoord.out.bam","SRR1166443_Aligned.sortedByCoord.out.bam","SRR1166444_Aligned.sortedByCoord.out.bam","SRR1166445_Aligned.sortedByCoord.out.bam","SRR1166446_Aligned.sortedByCoord.out.bam","SRR1166447_Aligned.sortedByCoord.out.bam"
"YJR132W",2071.55483290179,2090.95980601131,2020.31367844324,2007.39726389369,2057.53078059997,2038.09407943535
"YJR133W",1133.84207057554,1050.76900875442,1079.39230797726,1697.36107042465,1513.91596817824,1732.43699309586
"YJR134C",2996.58261509251,3083.54865152933,3081.54586346821,3232.73693864355,3374.514590316,3290.37572421432
"YJR135C",646.933986911864,586.209220487995,631.064272592384,667.971237052696,646.183644954129,642.107983616174
"YJR135W-A",1310.45602477019,1275.55600307688,1305.25883719648,2030.91124485904,1959.06470136887,2160.12881166791
"YJR136C",1156.2847277384,1085.14819612139,1173.59794579231,1417.80596339216,1460.5801752614,1440.46604495067
"YJR137C",62545.7339774715,66187.869340031,55033.117599257,4056.59716061468,4279.17169325178,3687.27373184919
"YJR138W",2293.05410142214,2321.91742370733,2229.15509239468,2348.78543198321,2252.41156241153,2390.51213793872
"YJR139C",31370.9316428604,31038.2355689959,26964.3775611102,12627.0077783925,12638.5315446425,12383.6740428142
"YJR140C",1567.08293058892,1563.81226638451,1503.88518198725,1693.00662950514,1565.20038444444,1838.50456410173
"YJR141W",1174.82431409032,1177.70754672475,1211.05319938143,1369.90711327756,1243.1342502927,1405.11018794872
"YJR142W",2665.79736386608,2583.72815827115,2487.93684446494,2740.68511473903,2767.30710172419,2630.01955633907
"YJR143C",4273.86253796978,4461.36069908232,4515.06056901529,3708.24188705395,3670.93851633464,3957.57496118672
"YJR144W",2829.7263379252,2831.43461083825,2951.01997974856,4728.92283858688,4378.66346080821,4709.17205035734
"YJR145C",17553.0852044608,19517.6817305634,18670.8764103322,21109.4586895962,21018.4051625397,21848.7791156928
"YJR146W",375.670565552138,365.8298142895,451.733058438433,220.33471052716,181.54683358235,206.432584430777
"YJR147W",2768.25297265303,2872.86593920357,2651.37795103563,962.331443211511,945.684635948741,930.657397212786
"YJR148W",13027.474599186,12292.763277752,12590.6402443657,7489.63838155565,7667.020231797,7128.19697620087
"YJR149W",1282.15876139093,1222.66494558925,1233.7533530718,1836.70317984894,1983.68122117664,1814.55382226169
