"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YBR039W",15794.2477219986,2.04316114302161,0.0515826633340439,39.6094542422191,0,0
"YBR047W",1735.86475061688,-1.59960356343699,0.0704657001876207,-22.7004565225055,4.4336793711633e-114,1.0329982121596e-112
"YBR050C",2530.68545695729,4.22151850385327,0.0749615882308465,56.315755888909,0,0
"YBR056W-A",665.886649578019,1.03403870712422,0.101033812997875,10.2345806462433,1.38795172944182e-24,8.44270445057387e-24
"YBR072W",97484.2539055151,1.86012793435981,0.0933032729283775,19.936363173323,1.96867913719917e-88,3.61344188147545e-87
"YBR085W",2627.19017084199,-1.16353749876165,0.092075874606455,-12.6367249155631,1.32457192329874e-36,1.13787035696711e-35
"YBR092C",18891.6570927541,-3.24614960622441,0.0779964115753274,-41.6192173544977,0,0
"YBR104W",4071.18334845474,-1.43380025488923,0.0532196380891421,-26.941187621149,7.23549683879053e-160,2.44304422674457e-158
"YBR105C",14536.0256592202,1.29694890075459,0.0735285659921018,17.6387079396312,1.24270026675277e-69,1.87265142822839e-68
"YBR117C",4105.39458226216,1.51961009534329,0.0567717452761294,26.7670139072196,7.82696945014929e-158,2.60102553201277e-156
"YBR145W",8917.35515431914,-1.33896031746924,0.0655904111932819,-20.4139643754266,1.25666556963243e-92,2.41908122154242e-91
"YBR158W",9655.36938971747,-1.67097216959959,0.051166341473867,-32.6576440970093,6.24166537698461e-234,3.45700659563867e-232
"YBR183W",431.596464252638,1.10960936143401,0.101925703851718,10.8864527739566,1.33748801892347e-27,9.16927182571425e-27
"YBR201C-A",9461.24141625208,1.48937089236177,0.0642279868835377,23.1888147928783,5.90469496311398e-119,1.43946888019698e-117
"YBR203W",2457.27144140103,1.1646431684805,0.0538854027749483,21.6133332684664,1.34574258377596e-103,2.84181226553892e-102
"YBR213W",2060.39235034342,-3.31443877797137,0.0818617068051977,-40.4882686584899,0,0
"YBR230C",3735.65165518653,1.85937081104618,0.0922005308278566,20.1665955103635,1.92438858407669e-90,3.57370279995889e-89
"YNCB0019C",1890.89435433336,2.67116653667801,0.103719539625952,25.7537446300971,2.92668058765933e-146,9.19356280123432e-145
"YBR240C",6992.19965838124,-2.49740902919314,0.0905748392449207,-27.5728784065514,2.35364150922991e-167,8.5407428099297e-166
"YBR248C",9481.80579495281,-1.07899106828666,0.0510644674155728,-21.1299779062732,4.21744523710387e-99,8.53491962406212e-98
"YBR255C-A",2120.88851532668,1.1969772672417,0.0556168252264475,21.5218553444597,9.71944128274936e-103,2.03207126686356e-101
"YBR256C",11509.3537071146,-1.62131514450281,0.057088975734514,-28.3997938944036,2.03400257888386e-177,7.92758782905721e-176
"YBR269C",2735.98333671956,1.07588219539432,0.0727441251986604,14.7899530368417,1.70072428918798e-49,1.95955714633812e-48
"YBR294W",5289.18574500128,-1.34739693131663,0.0926079608691189,-14.5494719748865,5.8855583506814e-48,6.58890344436212e-47
"YBR296C",932.998239283088,1.24231489307332,0.071146591189224,17.4613410468144,2.82225645562015e-68,4.18303456825954e-67
"YBR296C-A",62.0772776812405,1.93194050773873,0.242089038778365,7.98028906012322,1.45990992779612e-15,6.06838135885759e-15
"YBR298C",4082.19755612027,1.47055677195359,0.0539637173281729,27.2508426914069,1.62407522783332e-163,5.63429175194482e-162
"YBR299W",131.608428350521,1.89702904638113,0.168492226019342,11.2588520621917,2.09469472779062e-29,1.51153171557371e-28
"YBR301W",993.544784243654,2.29801027872317,0.227901815221888,10.0833346872898,6.54658219505726e-24,3.877590992457e-23
"YCL058C",267.553669177748,1.31214662936546,0.135989963016597,9.6488490787024,4.97104902585766e-22,2.72695078620897e-21
"YCL057C-A",5639.99167773549,1.29242724824418,0.0752683009884002,17.1709369186287,4.38287912705718e-66,6.361723863963e-65
"YCL055W",1558.87795375899,-1.28847897672883,0.0579675786968144,-22.2275797212079,1.85890187147215e-109,4.16209447392736e-108
"YCL048W-A",2047.85688546336,1.11813734066655,0.102335687739064,10.9261721435594,8.64173536582571e-28,5.98288564691048e-27
"YCL040W",48196.5620560497,1.51483176801934,0.0595175900512297,25.4518330919557,6.73722098972176e-143,2.02565777757634e-141
"YCL030C",47032.5853705807,-1.26259769152386,0.0560964651622426,-22.5076159054259,3.49570170237169e-112,8.03731069137146e-111
"YCL027W",1368.31943344066,-1.38810624611762,0.0611166711535551,-22.7123994143924,3.37881627589653e-114,7.90142443185581e-113
"YCL026C-B",790.461812005797,-1.08853325791762,0.0773086227947476,-14.0803602310657,5.01534837244505e-45,5.30433997045528e-44
"YCL012C",1067.54733292923,1.07721027107557,0.0788108760945201,13.6682945864431,1.57032458503482e-42,1.58387051596004e-41
"YNCC0004C",106.919577073832,-1.63059627751424,0.177535931134028,-9.184598673061,4.13064692210446e-20,2.10669666124132e-19
"YCR020C",5713.88517888157,-3.02377123333789,0.103108439232556,-29.326127481359,4.81760277472133e-189,2.12715691745388e-187
"YCR021C",11029.8394546157,2.90271123123274,0.183801382372124,15.7926517949463,3.49570006916102e-56,4.47704872955024e-55
"YCR083W",2128.28917971172,1.42174824593402,0.0663979625408923,21.412528209106,1.02119696031348e-101,2.10027283629294e-100
"YCR099C",400.3799103172,-1.33532623017468,0.098395436927976,-13.571017842546,5.94901431834982e-42,5.88747279091861e-41
"YCR100C",644.558487927063,-1.54047850187954,0.0844992058603376,-18.2306861489998,2.94601694433453e-74,4.67365602676589e-73
"YCR101C",345.898683813708,-1.36788753280133,0.104157273424853,-13.1329045761575,2.13314799451944e-39,1.98360772273869e-38
"YCR102C",629.136715764252,-1.05865039588914,0.107561683152844,-9.8422632005936,7.40265198993036e-23,4.19572214222803e-22
"YCR104W",127.082177420641,-1.00432737468705,0.168261442858123,-5.96885036540362,2.38931107966394e-09,7.02006056630905e-09
"YDL246C",45.8518651435775,1.74919224498745,0.26814619456106,6.52327827307328,6.87870707021327e-11,2.20916360332282e-10
"YDL223C",7499.67787599871,2.32669535212039,0.0869393585481593,26.7622787995559,8.88607371150284e-158,2.92222236533484e-156
"YDL222C",2406.0122516005,1.95282090150349,0.0649743633037816,30.0552525982172,1.86416133465977e-198,8.59147055988452e-197
"YDL218W",841.153263100197,2.12361351359656,0.111616881772767,19.0259168673058,1.04051309628054e-80,1.74728715157323e-79
"YDL204W",4196.79473848892,3.05544591236625,0.0615978831569311,49.6030992588167,0,0
"YDL198C",6256.52394548169,-1.45452022415365,0.0611822305400115,-23.7735730017629,6.26903522167306e-125,1.57074160276364e-123
"YDL182W",15772.6811261361,-1.54757497897889,0.0612057436481793,-25.2847998690222,4.69450672084622e-141,1.39160166363489e-139
