"GO Term","p-value (adjusted)","k (genes in cluster)","f (genes in category)","Genes in category from cluster"
"nucleotide metabolic process","6.76111595589824e-09","31","185","YBL099W/YBR039W/YBR117C/YCL040W/YDL085W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGL037C/YGR043C/YGR256W/YIL155C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR295C/YML120C/YML081C-A/YMR145C/YOL077W-A/YPL271W/YPL134C/YPL078C/YPL061W/YPR020W"
"purine ribonucleotide metabolic process","8.10139202071643e-09","20","80","YBL099W/YBR039W/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"ribonucleotide biosynthetic process","2.11700352900288e-08","17","60","YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"carbohydrate metabolic process","2.34015117088183e-08","37","265","YBR105C/YBR298C/YBR299W/YCL040W/YDL246C/YDL085W/YDL049C/YDR516C/YEL070W/YEL011W/YER054C/YFR017C/YFR053C/YGR043C/YGR256W/YGR282C/YGR292W/YHL032C/YHR043C/YIL162W/YIL155C/YIL045W/YIL024C/YJR159W/YKR097W/YLR070C/YLR308W/YMR105C/YMR145C/YMR280C/YNL117W/YNR071C/YNR073C/YOL157C/YOR178C/YPL201C/YPR184W"
"nucleoside phosphate metabolic process","2.88499333267242e-08","35","243","YAL054C/YBL099W/YBR039W/YBR117C/YCL040W/YDL085W/YDL004W/YDR148C/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGL037C/YGR043C/YGR244C/YGR256W/YIL155C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR295C/YML120C/YML081C-A/YMR105C/YMR145C/YOL077W-A/YPL271W/YPL134C/YPL078C/YPL061W/YPR020W"
"ribose phosphate biosynthetic process","9.85097266783956e-08","17","66","YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"nucleobase-containing small molecule metabolic process","1.71155305621455e-07","35","260","YAL054C/YBL099W/YBR039W/YBR117C/YCL040W/YDL085W/YDL004W/YDR148C/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGL037C/YGR043C/YGR244C/YGR256W/YIL155C/YJL116C/YJL026W/YJR121W/YKL067W/YKL016C/YLR295C/YML120C/YML081C-A/YMR105C/YMR145C/YOL077W-A/YPL271W/YPL134C/YPL078C/YPL061W/YPR020W"
"ribonucleotide metabolic process","1.77442570097713e-07","20","95","YBL099W/YBR039W/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"purine nucleotide biosynthetic process","2.41842501920229e-07","17","70","YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
"ribose phosphate metabolic process","6.11071411739337e-07","20","102","YBL099W/YBR039W/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W"
