"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015074","DNA integration","19/594","46/6447",0.41304347826087,4.48298199385156,7.55188455874718,6.13646334649529e-09,1.30427739128236e-07,1.10867395197924e-07,"YAR009C/YBL100W-B/YBL005W-B/YBR012W-B/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YGR161C-D/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D",19
"GO:0009117","nucleotide metabolic process","43/594","185/6447",0.232432432432432,2.52271362271362,6.69416906763793,6.37349457985081e-09,1.33046699354386e-07,1.13093588033443e-07,"YBL099W/YBR039W/YBR117C/YBR145W/YCL040W/YDL085W/YDL066W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YER037W/YFR053C/YGL248W/YGL224C/YGL037C/YGR043C/YGR204W/YGR256W/YHR216W/YIL155C/YJL116C/YJL026W/YJR121W/YKL216W/YKL067W/YKL016C/YLR295C/YLR420W/YML120C/YML081C-A/YMR120C/YMR145C/YOL077W-A/YOR222W/YPL271W/YPL188W/YPL134C/YPL078C/YPL061W/YPR020W",43
"GO:0009260","ribonucleotide biosynthetic process","21/594","60/6447",0.35,3.79873737373737,6.93806597745524,3.23083159341643e-08,6.62603882930493e-07,5.63232691446927e-07,"YBL099W/YBR039W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR399W/YHR216W/YJL116C/YJR121W/YKL216W/YKL067W/YKL016C/YLR295C/YLR420W/YML081C-A/YMR120C/YOL077W-A/YPL271W/YPL078C/YPR020W",21
"GO:0008645","hexose transmembrane transport","13/594","25/6447",0.52,5.64383838383838,7.41073121179694,5.57082250561328e-08,1.1037782218749e-06,9.38243790419079e-07,"YCL040W/YDR277C/YDR342C/YDR343C/YDR345C/YEL069C/YFL011W/YFR053C/YHR092C/YHR094C/YHR096C/YNL318C/YNR072W",13
"GO:0015749","monosaccharide transmembrane transport","13/594","25/6447",0.52,5.64383838383838,7.41073121179694,5.57082250561328e-08,1.1037782218749e-06,9.38243790419079e-07,"YCL040W/YDR277C/YDR342C/YDR343C/YDR345C/YEL069C/YFL011W/YFR053C/YHR092C/YHR094C/YHR096C/YNL318C/YNR072W",13
"GO:0009205","purine ribonucleoside triphosphate metabolic process","20/594","58/6447",0.344827586206897,3.74259839777081,6.68357585914914,9.18068439611528e-08,1.78870334317646e-06,1.52045018770751e-06,"YBL099W/YBR039W/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR516C/YFR053C/YHR216W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W",20
"GO:0009084","glutamine family amino acid biosynthetic process","13/594","26/6447",0.5,5.42676767676768,7.2047875676867,1.02113903401207e-07,1.95690414878707e-06,1.66342579483589e-06,"YAL062W/YDL066W/YER069W/YHR018C/YHR033W/YJL088W/YJL071W/YJR109C/YMR062C/YOL140W/YOL058W/YOR130C/YOR303W",13
"GO:0055086","nucleobase-containing small molecule metabolic process","51/594","260/6447",0.196153846153846,2.1289627039627,5.91936774884369,1.04158456529243e-07,1.96389089810783e-06,1.66936473622421e-06,"YAL054C/YBL099W/YBR039W/YBR117C/YBR145W/YCL040W/YDL085W/YDL066W/YDL004W/YDR148C/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YER037W/YFR053C/YGL248W/YGL224C/YGL037C/YGR043C/YGR204W/YGR244C/YGR256W/YHR216W/YIL155C/YJL116C/YJL026W/YJR121W/YKL216W/YKL127W/YKL067W/YKL016C/YLR295C/YLR420W/YML120C/YML081C-A/YMR105C/YMR120C/YMR145C/YOL077W-A/YOR047C/YOR184W/YOR222W/YOR303W/YPL271W/YPL188W/YPL134C/YPL078C/YPL061W/YPR020W",51
"GO:0072521","purine-containing compound metabolic process","41/594","190/6447",0.215789473684211,2.34207868155237,5.98164743727012,1.34772419045453e-07,2.50077710895452e-06,2.12573372730005e-06,"YAL054C/YBL099W/YBR039W/YBR117C/YBR145W/YCL040W/YDL085W/YDL066W/YDL004W/YDR148C/YDR298C/YDR322C-A/YDR377W/YDR399W/YDR516C/YFR053C/YGL248W/YGR043C/YGR204W/YGR244C/YGR256W/YHR216W/YIL155C/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML120C/YML081C-A/YMR120C/YMR145C/YOL077W-A/YOR184W/YOR222W/YPL271W/YPL188W/YPL134C/YPL078C/YPL061W/YPR020W",41
"GO:0009144","purine nucleoside triphosphate metabolic process","20/594","60/6447",0.333333333333333,3.61784511784512,6.48963433182526,1.74524518736643e-07,3.187799412549e-06,2.70972279091104e-06,"YBL099W/YBR039W/YCL040W/YDL004W/YDR298C/YDR322C-A/YDR377W/YDR516C/YFR053C/YHR216W/YJL116C/YJR121W/YKL067W/YKL016C/YLR295C/YML081C-A/YOL077W-A/YPL271W/YPL078C/YPR020W",20
