"GO Term","p-value (adjusted)","k (genes in cluster)","f (genes in category)","Genes in category from cluster"
"L-methionine biosynthetic process",0.0210225070472707,4,13,"YGL202W/YGL184C/YHR208W/YLR303W"
"L-amino acid transport",0.0249756305379673,5,22,"YBR104W/YGR055W/YHL036W/YOR130C/YOR222W"
"erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process",0.0249756305379673,5,22,"YDR354W/YGL202W/YGL026C/YKL211C/YLR134W"
"alcohol metabolic process",0.0267517095345982,14,133,"YBR145W/YBR240C/YCR020C/YDL066W/YER024W/YER073W/YGR144W/YGR267C/YLR134W/YOL055C/YOR143C/YPL258C/YPL214C/YPR121W"
"purine-containing compound transmembrane transport",0.0357864415242269,4,15,"YBR085W/YDL198C/YER060W-A/YOR222W"
"inorganic ion transmembrane transport",0.0360879604525027,18,198,"YBR294W/YDR345C/YEL065W/YER145C/YHL047C/YHL040C/YHR092C/YHR094C/YIL121W/YKL175W/YKL120W/YLR034C/YLR092W/YLR130C/YLR136C/YMR058W/YMR301C/YOL158C"
"amino acid catabolic process",0.0364721574279136,8,57,"YAL044C/YBR145W/YDL170W/YDR019C/YHR208W/YJL060W/YLR134W/YMR189W"
"DNA recombination",0.0414305014257254,22,265,"YAR009C/YBL100W-B/YBL005W-B/YBR012W-B/YDL059C/YDR098C-B/YDR210C-D/YDR261W-B/YDR261C-D/YDR365W-B/YER092W/YGR161C-D/YJR027W/YLR227W-B/YMR045C/YNL284C-B/YNL054W-B/YOL104C/YOL103W-B/YOR192C-B/YPR158W-B/YPR158C-D"
"biogenic amine metabolic process",0.0423542451397633,5,25,"YDR354W/YGL026C/YKL211C/YLR134W/YMR020W"
"L-tryptophan metabolic process",0.0429221989008595,4,16,"YDR354W/YGL026C/YKL211C/YLR134W"
"indolalkylamine metabolic process",0.0429221989008595,4,16,"YDR354W/YGL026C/YKL211C/YLR134W"
"indole-containing compound metabolic process",0.0429221989008595,4,16,"YDR354W/YGL026C/YKL211C/YLR134W"
"monoatomic ion transmembrane transport",0.0452895972945422,17,188,"YBR294W/YDR345C/YEL065W/YER145C/YHL047C/YHL040C/YHR092C/YHR094C/YIL121W/YKL175W/YLR034C/YLR092W/YLR130C/YLR136C/YMR058W/YMR301C/YOL158C"
