"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"YJR150C",44004.0321166838,-1.50514559652894,0.0801441488852368,-18.7804801406557,1.09089155868455e-78,1.78906215624267e-77,"Down"
"YJR159W",34.9709162216786,1.72528989280447,0.308128388214151,5.59925653979465,2.15273027910955e-08,5.93551920624355e-08,"Up"
"YKL221W",564.37187651077,1.454566603368,0.0929170625318499,15.6544617719636,3.09722429015691e-55,3.9268823630624e-54,"Up"
"YKL220C",552.127509696896,-1.2220728653683,0.0894025949580285,-13.6693220811099,1.54830893486132e-42,1.5641636183543e-41,"Down"
"YKL217W",2660.03487744239,2.28853225741111,0.054555809565705,41.9484611378535,0,0,"Up"
"YKL216W",16015.6475346771,-1.38464678630052,0.064006704510462,-21.6328398234313,8.81840341994927e-104,1.86843621454898e-102,"Down"
"YKL211C",10056.6464905269,-1.65026435950764,0.0442115511701316,-37.3265428565766,6.09116930907415e-305,5.06047934440713e-303,"Down"
"YKL201C",7342.65949753038,-1.48518880689641,0.0590558425436856,-25.1488886268579,1.45331677474999e-139,4.24826023878306e-138,"Down"
"YKL178C",2947.43676030599,-1.50267605912907,0.062391282395582,-24.0847118608909,3.61515239255569e-128,9.35494762565437e-127,"Down"
"YKL175W",19951.7874986763,-1.43000156897941,0.0749710345453437,-19.0740541017148,4.14860558983823e-81,6.98514551846363e-80,"Down"
"YKL171W",2836.63044652322,1.14950147924607,0.0597523703993301,19.2377552817379,1.78784921416491e-82,3.05920865534884e-81,"Up"
"YKL163W",26607.5665284343,1.82153818674074,0.055495075731856,32.8234201452782,2.72854159326763e-236,1.53821532320462e-234,"Up"
"YKL150W",10456.2188198588,1.80302041547275,0.0631049911048318,28.5717561147822,1.50783768454982e-179,5.98772776116198e-178,"Up"
"YKL148C",11873.8238746013,2.54366268686859,0.0640107248155562,39.7380703655212,0,0,"Up"
"YKL141W",10674.4445565452,1.94890016126265,0.0694690087157196,28.0542388223491,3.54616052289388e-173,1.34074596057198e-171,"Up"
"YKL128C",2976.31099412017,-1.64121069928244,0.0573674181057416,-28.6087600501264,5.22794628733575e-180,2.08919321887582e-178,"Down"
"YKL127W",2522.38142341618,-1.02798302543653,0.0521466478392415,-19.7133098297251,1.65762108625922e-86,2.93994930860695e-85,"Down"
"YKL120W",13034.4723637408,-1.34431527881935,0.0543784107064539,-24.7214889393558,6.28324165908407e-135,1.74001701032705e-133,"Down"
"YKL109W",5297.41709259163,2.66885766023442,0.0653919043841759,40.8132732234705,0,0,"Up"
"YKL107W",616.320416535376,1.32853152086224,0.0837377321699024,15.8653869221903,1.10037258334752e-56,1.4208082804205e-55,"Up"
"YKL096W-A",29436.9831616735,2.22920457608392,0.0832892544913531,26.7646119502169,8.34744258260937e-158,2.75946347992647e-156,"Up"
"YKL096W",2534.86817689338,1.34609130241662,0.0991560124748576,13.5754884531883,5.59693389013677e-42,5.54773007571799e-41,"Up"
"YKL093W",1866.53081279585,1.1830566506752,0.0600113692805261,19.7138753016106,1.63919861495747e-86,2.91546480418069e-85,"Up"
"YKL085W",16217.627601624,1.76750147688208,0.0582427493368345,30.3471504523269,2.73968134618925e-202,1.29092149401783e-200,"Up"
"YKL068W-A",9984.65688395287,-2.88723660706263,0.0803235946937532,-35.9450621958678,6.0452789951276e-283,4.43835948549252e-281,"Down"
"YKL067W",7845.14596514128,1.0989375493532,0.064995919918459,16.9077928388716,3.94197809575425e-64,5.54335182552168e-63,"Up"
"YKL065W-A",796.459162421055,3.12210143324494,0.142014458011748,21.9843914271507,4.06205583949104e-107,8.84407605880911e-106,"Up"
"YKL050C",1365.55165198559,1.34574802346718,0.0701811505730928,19.1753485441308,5.94686059606221e-82,1.00666160331198e-80,"Up"
"YKL026C",1901.25942466186,1.59865000058194,0.0670633263889151,23.8379168863622,1.35144575240423e-125,3.4269190685463e-124,"Up"
"YKL016C",11510.8939720151,1.58439525511393,0.0588441510291314,26.9252802088955,1.11120053969687e-159,3.73197883385427e-158,"Up"
"YNCK0015C",87.6870078809658,1.20410952811324,0.196541282124203,6.12649675986297,8.98350351989449e-10,2.70619471491478e-09,"Up"
"YKL001C",18839.775058851,-4.38062580107154,0.104259760810971,-42.0164574232417,0,0,"Down"
"YKR016W",3191.45042610809,1.03500503496703,0.0569318697019096,18.1797127054887,7.4724211868077e-74,1.1795216843376e-72,"Up"
"YKR034W",1475.97686006156,1.18061629202555,0.0713361952772917,16.5500316835845,1.60018421621662e-61,2.18219506289238e-60,"Up"
"YKR041W",207.015692459802,-1.22086817026387,0.130851000070018,-9.33021657924349,1.05654790338376e-20,5.5223869718254e-20,"Down"
"YKR049C",2962.48891827874,1.16051670632235,0.0730096687292379,15.8953838104131,6.82094173809002e-57,8.82529224063533e-56,"Up"
"YNCK0020C",298.53209598464,1.0873364688931,0.117427006507698,9.25967970427506,2.05046370647507e-20,1.05686757899458e-19,"Up"
"YKR069W",13342.0657870043,-3.39800163276799,0.0711763408126287,-47.7406058526275,0,0,"Down"
"YKR075C",5669.42209810856,1.99860919283384,0.0984362298290929,20.3035934665912,1.19517083788599e-91,2.26615875988352e-90,"Up"
"YKR097W",12090.6081806289,4.62765930833597,0.057476255897182,80.5142790896868,0,0,"Up"
"YLL062C",1611.93543114262,-1.58082351677151,0.080268629243265,-19.6941636063151,2.41960039859244e-86,4.27937168535369e-85,"Down"
"YLL061W",2597.74359943685,-1.69004559296884,0.0756598702473379,-22.3374106702001,1.60056076436398e-110,3.60926452364077e-109,"Down"
"YLL055W",3678.98010167158,-1.66483320868072,0.0998096216956194,-16.6800873542814,1.82951194391591e-62,2.52768893082824e-61,"Down"
"YLL053C",411.018071858475,-2.07567332608234,0.105225632039977,-19.7259288050059,1.29163057925039e-86,2.30377273372514e-85,"Down"
"YLL052C",359.101005679188,-2.11613376670906,0.108363973463088,-19.5280193138162,6.34531493327711e-85,1.09765256133457e-83,"Down"
"YLL041C",13328.7039400655,2.40855744741775,0.0625611495291439,38.4992517807835,0,0,"Up"
"YLL026W",27458.4607248327,1.31165587472682,0.0773155224114725,16.9649746107411,1.49164135083017e-64,2.11170930249814e-63,"Up"
"YLR004C",23052.8688045967,-3.74346330251087,0.0907143602340542,-41.2664906951035,0,0,"Down"
"YLR023C",11971.7600977869,1.54608501627247,0.0998462080200864,15.4846643345878,4.40354893100239e-54,5.45176626477433e-53,"Up"
"YLR034C",5196.03562920799,-1.65429427652427,0.106229662048618,-15.5728093700153,1.11404729375809e-54,1.39565369301361e-53,"Down"
"YLR037C",682.83050800131,1.00888799687988,0.0853863699389312,11.8155625728256,3.2437032612194e-32,2.56009279891741e-31,"Up"
"YLR038C",3182.30239820681,2.69487581048177,0.0979123894983832,27.5233382035505,9.2303428500022e-167,3.31138549743829e-165,"Up"
"YLR042C",983.950591666654,-1.05307969389492,0.0747053681577547,-14.0964393839964,3.99419983036538e-45,4.24568648635135e-44,"Down"
"YLR058C",46520.1178604,-1.92039091903888,0.0583088906665286,-32.9347874241287,6.9859443296405e-238,4.00993204521365e-236,"Down"
"YLR069C",2246.52322159587,1.02775027667267,0.0564374663592527,18.2104255022812,4.26618370070257e-74,6.75104859304161e-73,"Up"
"YLR070C",651.851393311207,1.02371957356809,0.0824005202524631,12.4237027925499,1.9435342261767e-35,1.65161172329471e-34,"Up"
"YLR092W",21544.9879758528,-3.99170003490537,0.0890861478585157,-44.80719091418,0,0,"Down"
"YLR106C",6034.27502809892,1.05670936060497,0.0872488928097451,12.111435762391,9.18717786575536e-34,7.5728252016161e-33,"Up"
