"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"YAL039C",7435.77445472862,1.87820846163308,0.0677407327981968,27.7264266867081,3.35361331007725e-169,1.24557143763693e-167,"Up"
"YAL038W",211872.932797115,-0.0683155568546539,0.053587511632998,-1.27484099882307,0.202365525924164,0.256161974876738,"Not Significant"
"YAL037C-A",103.332495408284,0.127473251783702,0.175028480636754,0.728300053339629,0.466429929699326,0.532290367513804,"Not Significant"
"YAL037W",736.446910846748,-0.462954439934647,0.0743096045768215,-6.23007540641726,4.66210718260492e-10,1.4275724903476e-09,"Not Significant"
"YAL036C",2846.53119824107,0.12044078716025,0.0681665784880487,1.76685979891695,0.0772517110422872,0.106197975946223,"Not Significant"
"YAL035W",12933.0465315465,0.474604178458436,0.0466635054899273,10.1707785018612,2.67759941518122e-24,1.61320254842121e-23,"Not Significant"
"YAL034W-A",803.313188912406,0.23145058947575,0.0733145662578333,3.15695231233835,0.00159427416771396,0.00277230710408867,"Not Significant"
"YAL034C",2554.25931915176,0.436561786557623,0.0649037912306446,6.72629099594877,1.74042337006295e-11,5.78674731889281e-11,"Not Significant"
"YAL033W",797.145470661158,0.170217955411502,0.0804917051137469,2.11472666867919,0.0344532500300728,0.0502628975715988,"Not Significant"
"YAL032C",2210.27744834195,0.442476080642925,0.0549015591696346,8.05944471040912,7.66417972736564e-16,3.228260893835e-15,"Not Significant"
"YAL031C",3016.3170306616,-0.26629347432112,0.0485469118089649,-5.4852814401254,4.1281165784461e-08,1.11340999898798e-07,"Not Significant"
"YAL030W",2894.87022180423,0.00572473676627553,0.055971054093815,0.102280310045262,0.918534183643827,0.935725207409991,"Not Significant"
"YAL029C",3133.83137133547,-0.133253780260049,0.0544138590336576,-2.44889413518025,0.0143295558165695,0.0219924198896013,"Not Significant"
"YAL028W",1532.59093144739,-0.0524146473276729,0.0598198509414459,-0.876208257004493,0.380916828550504,0.447129365210612,"Not Significant"
"YAL027W",824.265146721103,0.348153401273237,0.0738965279186767,4.71136345751427,2.46064937389668e-06,5.65788060698603e-06,"Not Significant"
"YAL026C",3462.88216006146,-0.180232661080241,0.0498402456457149,-3.61620731890868,0.000298950978158374,0.000558289404345452,"Not Significant"
"YNCA0001W",40.3646020064168,-1.51815593756037,0.292290687853911,-5.19399351620518,2.05830312024446e-07,5.22982933650847e-07,"Down"
"YAL025C",3552.90284710942,0.39084005273535,0.0676609883636268,5.77644610561821,7.62949250244519e-09,2.16993764236211e-08,"Not Significant"
"YAL024C",1132.68270348996,0.218326225065445,0.0787718975898927,2.77162581765021,0.00557771121554531,0.00904640858334269,"Not Significant"
"YAL023C",9877.50380189963,-0.157976550954713,0.0622122124000659,-2.53931736005173,0.0111069020341004,0.0173157973934099,"Not Significant"
"YAL022C",2440.70443891006,-0.847440448889303,0.0535541271885953,-15.8239988844365,2.12553021656181e-56,2.7333193049636e-55,"Not Significant"
"YAL021C",4645.5579331446,0.0875505135530117,0.0458422756096236,1.90982040897273,0.0561563405874795,0.078986663949509,"Not Significant"
"YAL020C",1722.57816715739,-0.0316181620088016,0.0603581942702318,-0.523842079622907,0.60038838296303,0.661233603702873,"Not Significant"
"YAL019W",3308.75017675625,0.164038022267514,0.0518267506710249,3.16512264696585,0.00155017592960713,0.00270008574332121,"Not Significant"
"YAL018C",642.264011888652,1.00509622956996,0.139733224368396,7.19296526730174,6.33990749310832e-13,2.27573484431415e-12,"Up"
"YAL017W",3931.24782589764,0.187545654104966,0.0466979034695806,4.01614719656815,5.91573148501603e-05,0.000118993082498857,"Not Significant"
"YAL016W",7493.51541137281,0.121394751459655,0.0457157836413313,2.65542317751943,0.0079208972824656,0.0125944460945575,"Not Significant"
"YAL015C",1847.51943996501,-0.463620908222118,0.0537642981130332,-8.62321139666714,6.5102114427103e-18,3.03137721602307e-17,"Not Significant"
"YAL014C",2828.68146561529,-0.241395844259573,0.0565166962558901,-4.27123063185802,1.94397236639629e-05,4.0886880484431e-05,"Not Significant"
"YAL013W",3505.94001531047,-0.308831878777125,0.0499696027240619,-6.18039491893764,6.39414453878033e-10,1.9428598949884e-09,"Not Significant"
"YAL012W",18419.4378288739,-2.80325376508927,0.0690020649512654,-40.6256503637846,0,0,"Down"
"YAL011W",1912.24357714211,0.367803208563319,0.0592296139035349,6.20978568528821,5.30569104939372e-10,1.61992907571915e-09,"Not Significant"
