"","SRR1166442_Aligned.sortedByCoord.out.bam","SRR1166443_Aligned.sortedByCoord.out.bam","SRR1166444_Aligned.sortedByCoord.out.bam","SRR1166445_Aligned.sortedByCoord.out.bam","SRR1166446_Aligned.sortedByCoord.out.bam","SRR1166447_Aligned.sortedByCoord.out.bam"
"YEL047C",8.29126012043666,8.34266039565013,8.30572084993464,7.32499329049221,7.34160302732684,7.42936816406428
"YEL046C",8.43659100896929,8.61347268648,8.57551488186406,8.34120988056475,8.31422358789278,8.45504556959846
"YEL044W",7.94017880925212,7.92354478958809,7.9509740103636,7.9135475619176,7.84133041642795,7.8421508698296
"YEL043W",4.74209924761252,4.77441967120396,4.79047809004051,4.84613119672526,4.68786034751414,4.78703910269623
"YEL042W",5.33841441717288,5.42667277746439,5.42513616079164,5.64238581696454,5.60006456131878,5.68798681707992
"YEL041W",4.69507475948548,4.62375265022679,4.68950489546594,4.90107570720836,4.87298375463971,4.86374685872489
"YEL040W",7.04697626145811,7.07591685862003,7.09937076706162,6.14897514916785,5.92332488239667,6.12476593259862
"YEL039C",6.83213351121842,6.68148222053371,6.81379876258631,8.70005651821011,8.45823481574126,8.42959302457166
"YEL038W",7.42699273987403,7.50967190443435,7.64859559121514,7.6863064085568,7.46666666901842,7.50909938033929
"YEL037C",7.00603714658709,7.03180270758249,7.03347237818909,7.50912726341734,7.4477078170773,7.46066320037768
"YEL036C",6.43846217505715,6.43166617036428,6.50853858986045,6.47731318353387,6.37347396642547,6.54757490522515
"YEL035C",2.36625403082264,1.97601134637405,2.07557712298159,1.99574936113677,2.3461114127912,2.16040525177391
"YEL034W",8.04816956589669,8.046412307327,8.26829325919571,9.68046276799135,9.4102374066032,9.82522899328382
"YEL033W",5.38824441131685,5.35946117790394,5.52424565454025,6.99854536165597,6.73097739886289,7.14544501437755
"YNCE0005W",0,0,0,0,0,0
"YEL032W",5.56500527626711,5.61089982312791,5.65372417522342,6.12214172596708,6.00865602164761,6.11572930839003
"YEL031W",6.07288921424118,6.08352652682637,6.13298007016353,6.27498872358256,6.29664267615992,6.34463376206131
"YEL030W",4.07420268070188,3.9650025736616,3.89706651484788,4.4350903425335,4.40801611983539,4.33673080595579
"YEL029C",7.10008089538178,7.05171348533305,7.01647515624317,5.94036735279454,6.00921339798419,5.95301381997457
"YEL028W",5.43713075689743,5.29423604664483,5.27877829941862,4.77631223385713,4.88287752058175,4.77725796869386
"YNCE0006W",2.25460234821118,3.16020455185969,2.55175385774803,2.02873231463736,1.50265738480707,2.32903883073442
"YEL027W",10.7010924846614,10.6758334739507,10.7130634772397,10.2970483984748,10.3516756213703,10.3316509682785
"YEL026W",8.10308874586701,8.3497342614082,8.389968209138,9.38444786254772,9.28808191307753,9.40899288819807
"YEL025C",5.20370103392459,5.20935688429027,5.16706109387228,4.96937649695652,4.95196317875241,5.06939079391441
"YEL024W",5.65026567730976,5.70620149255284,5.63954532140594,8.04483104326039,7.93469704953994,8.08566575504654
"YEL023C",5.06050512302463,5.10763308712446,5.0596561058496,4.99749251585726,5.0446934708115,5.04272884223244
"YEL022W",4.07963121840978,4.08880793669324,4.04594872275334,4.2238260006528,4.16084656507479,4.29514831073864
"YEL021W",8.93379848226001,8.95742928160848,9.32343594670736,9.67077911382576,9.47384967567895,9.73234240742484
"YEL020W-A",5.39743986736933,5.3321843739251,5.2431328141108,6.21734698594382,5.87982182528988,6.1931857577214
"YNCE0007C",2.73177144609014,2.94731599906803,2.26179445991181,4.62450801927665,4.884268461099,4.5653397844989
"YEL020C",5.46282983321086,5.46549810606306,5.45964697321552,5.41593792837793,5.37629838609591,5.36395881296465
"YEL019C",4.43332028952781,4.42289770085654,4.47317135139999,4.67145031763498,4.71181052602156,4.58898229232783
"YEL018W",6.08437676701154,6.14177847505273,6.08017333963666,6.36555610973379,6.35929900178538,6.35421097595682
"YEL017C-A",9.83650465899445,9.77411072916151,9.73069208888601,8.25623536074813,8.44422154334178,8.27478882695775
"YEL017W",5.82931027757435,5.7802971989138,5.74494250510805,5.14214481538282,5.01694460533534,5.06486166963354
"YEL016C",6.03848515459075,6.04649462588079,6.09964422033807,5.57231571799243,5.61256158012507,5.62126456978052
"YEL015W",6.27063897786553,6.30315125205328,6.23953279010839,6.10896925281792,6.15131098844285,6.0426495401897
"YEL014C",4.12670209816071,4.07336179299903,3.98881972134715,3.70598236814203,3.81262297617337,4.00301352876332
"YEL013W",5.95368088344185,5.88417883293306,5.83347464005043,5.55113770008046,5.55174822802887,5.56868149468119
"YNCE0008C",0.504990654533424,0.462653883937078,1.29809518412649,1.10780371276131,1.24806802754985,0.587929567706757
"YEL012W",7.66893303349149,7.50532358677834,7.49805171237004,7.95484820377154,7.99944380540692,7.99589786881586
"YEL011W",6.91722984773157,6.7886169199843,6.74005404855277,8.22434273634492,8.31157962697876,8.09276526060132
"YNCE0009C",0.869275848559456,0.803880685617961,0.97038893325799,1.3329265348353,0.929231756637837,0.581299639800359
"YEL009C-A",2.38288728053836,2.9142707669944,2.57963902121326,2.43745097634824,2.21422374594149,2.44334477012374
"YNCE0010W",0,0,0.57177063047911,0,0,1.00444831531945
"YEL009C",10.1043719187683,10.1376362792074,10.0690350352073,10.7651588684023,10.8438267827599,10.8489026883867
"YEL008W",3.8934076848194,3.82235036215443,3.83134588383717,3.69306941510163,3.64634967720902,3.40629833860167
"YEL007W",5.36895838369107,5.25420854056298,5.19424271236816,5.65754674716454,5.65207490122943,5.5589503905345
"YEL006W",6.33381061506397,6.26462937898822,6.29913449642599,6.13001122018992,6.22314932558031,6.15414417156309
"YEL005C",5.90351128784862,5.80786645840872,5.79079390118083,6.09109630979455,6.08048695879736,6.08076316007855
"YEL004W",4.95965741587541,5.00138647290354,4.91962013558841,4.93212362061035,5.01657245592494,4.82893454999113
