"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"YFR049W",2804.44454209045,1.44084333837692,0.0723345809380783,19.9191495919544,2.77666450182721e-88,5.06701146373901e-87,"Up"
"YFR053C",215217.517761612,4.73843684434626,0.0723846194670337,65.461929332989,0,0,"Up"
"YGL256W",72712.5427298756,1.02250527310479,0.0521869555234088,19.5931198294589,1.77004078716408e-85,3.10445486948722e-84,"Up"
"YGL191W",6600.06778922135,2.13105638845967,0.0635195260550981,33.5496267181079,9.11651814916494e-247,5.37959771904929e-245,"Up"
"YGL187C",5554.31940818066,3.23582860495605,0.0803635502521717,40.2648787267659,0,0,"Up"
"YGL162W",3731.32999786271,1.84214846413793,0.0526437223378399,34.9927471373697,2.90049566153293e-268,1.92776101125462e-266,"Up"
"YNCG0008W",21.7395181123787,1.66418692776998,0.395959209468327,4.20292517000568,2.63487711673958e-05,5.4725704325966e-05,"Up"
"YGL158W",743.288816103966,1.37790685031131,0.12509521189623,11.0148648331506,3.24022583930178e-28,2.27572702439949e-27,"Up"
"YGL138C",561.144729781907,1.61510781323027,0.148805469141556,10.8538202429499,1.91260570932966e-27,1.29851531706532e-26,"Up"
"YNCG0010W",316.973373133784,1.17741446515333,0.114760798319157,10.2597270356979,1.07008794151813e-24,6.55338046823034e-24,"Up"
"YGL037C",18174.555359578,1.40002275741899,0.0665098220591964,21.049864727843,2.29333444336094e-98,4.59686148424793e-97,"Up"
"YGL033W",227.291779308325,2.40026151661253,0.137362906382723,17.4738696189558,2.26591795068796e-68,3.36635433897501e-67,"Up"
"YGR008C",7816.44545231303,1.55556297002116,0.0723466393490427,21.5015235540688,1.50659978373789e-102,3.12916810346088e-101,"Up"
"YGR030C",1511.03471766229,1.11925832824978,0.0672509252002294,16.6430175483438,3.40041973084767e-62,4.66744569142873e-61,"Up"
"YGR043C",5851.43495269515,1.50596337773661,0.0646637308750326,23.2891507705765,5.71060567585835e-120,1.40298693530621e-118,"Up"
"YGR059W",1551.566641887,1.11727208723458,0.0843311270043073,13.2486322301552,4.59501426946355e-40,4.3497631330424e-39,"Up"
"YGR067C",582.415224515256,1.07647999212492,0.0893930472559719,12.0420997512534,2.13452414770912e-33,1.73008799340634e-32,"Up"
"YGR087C",3221.52125848093,1.38818879371359,0.0526757279438495,26.3534809655283,4.68194339080106e-153,1.52380363760402e-151,"Up"
"YGR088W",3844.1519925694,1.54133676970461,0.0567834106979695,27.1441385918674,2.96937054852166e-162,1.02451396958283e-160,"Up"
"YGR142W",3600.25366582822,1.25363018823695,0.198890400366393,6.30312064296484,2.91711647403076e-10,9.04649971366907e-10,"Up"
