"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","regulation"
"YGR138C",4181.60296901847,-2.34259320253341,0.063749282736073,-36.7469734872458,1.29950807384279e-295,1.02563674728042e-293,"Down"
"YGR144W",126014.888738274,-5.82611667294677,0.0994121372215501,-58.6056877538271,0,0,"Down"
"YGR154C",2078.23972527424,-1.66933499585058,0.0751448581214918,-22.2148931754139,2.46567421679098e-109,5.50115441866369e-108,"Down"
"YGR155W",31292.0799417197,-1.72866735429169,0.0506629737610607,-34.1209215717285,3.61103733701303e-255,2.25743462830696e-253,"Down"
"YGR157W",2776.32895524765,-1.01755162150845,0.0888100449459606,-11.4576185850105,2.15354892086427e-30,1.61299025935196e-29,"Down"
"YGR161C-D",57.6601695158985,-1.46405122705009,0.239268367771874,-6.11886661276497,9.42432487114044e-10,2.83628156512777e-09,"Down"
"YGR204W",40574.4326439671,-1.44882845119651,0.0500043393037432,-28.9740544794691,1.39704717397382e-184,5.84169262017926e-183,"Down"
"YGR267C",7678.75779017259,-1.2429015306856,0.0484047897390551,-25.677242632102,2.09915825779101e-145,6.46540743399632e-144,"Down"
"YGR288W",1255.53052144035,-1.0013737046412,0.0781156065103123,-12.8191247482537,1.2813879817185e-37,1.14114015748528e-36,"Down"
"YGR295C",4459.84415734258,-1.10614845423279,0.0833632555027483,-13.2690169974987,3.50143670191412e-40,3.33455072939453e-39,"Down"
"YHL047C",11034.3718253728,-3.43975815354359,0.0731577086656453,-47.0183965064354,0,0,"Down"
"YHL044W",1622.52384345456,-1.00990134402926,0.0663078402230532,-15.2304967351078,2.2189916142717e-52,2.68919636324598e-51,"Down"
"YHL040C",5073.93428250874,-2.04734904713317,0.0949380277148882,-21.5651103821288,3.82005465826229e-103,8.01323093430833e-102,"Down"
"YHL037C",31.248020044811,-1.40603834901571,0.327432291312059,-4.29413465416485,1.75376015442275e-05,3.70590415496159e-05,"Down"
"YHL036W",4494.03835894514,-2.52803208719522,0.10283863041154,-24.5825141493865,1.94321081340463e-133,5.28854873958484e-132,"Down"
"YHL028W",6397.5137059625,-2.2239404611604,0.053417529145587,-41.6331585667162,0,0,"Down"
"YHL016C",1778.06274437971,-1.63964021347016,0.0661387903286406,-24.7909011538141,1.12379231076363e-135,3.18189446195586e-134,"Down"
"YHR018C",61086.3495218048,-2.8486890928838,0.0564442028420423,-50.469117277744,0,0,"Down"
"YHR029C",4286.19080615972,-2.18093870469183,0.0538925014024657,-40.4683146622704,0,0,"Down"
"YHR071W",13605.9069409812,-1.26878543617659,0.0813110697832217,-15.6040922786925,6.82738677145823e-55,8.60441518462819e-54,"Down"
"YHR092C",2095.09566255045,-1.91542544179448,0.0923067621878065,-20.7506513758697,1.20941832034173e-95,2.37151157597443e-94,"Down"
"YHR094C",8652.2857503318,-4.77994258590132,0.0773730407280309,-61.7778820752695,0,0,"Down"
"YHR112C",11354.4213380208,-2.02727726954772,0.0737242549109636,-27.4981045518337,1.84969707705244e-166,6.5982979347509e-165,"Down"
"YHR122W",2655.53644743069,-1.0476053666866,0.0515403936716298,-20.3259092928359,7.58703237385025e-92,1.45165219419668e-90,"Down"
"YHR136C",178.988437575284,-1.22381521427962,0.149048802133976,-8.21083562402312,2.19654417194784e-16,9.50581213274755e-16,"Down"
"YHR143W",13480.3457987189,-1.32161260989696,0.0542617403073913,-24.3562517974923,4.9773011403282e-131,1.30944497500134e-129,"Down"
"YHR162W",40993.1527019778,-1.2568328659281,0.0437929137036509,-28.6994575065993,3.87517661821855e-181,1.55846274951796e-179,"Down"
"YHR176W",2805.12488368785,-1.54324171305471,0.0821596524581713,-18.7834498672009,1.03154819303244e-78,1.70057318297828e-77,"Down"
"YHR208W",34167.2471545942,-1.16230547168748,0.0475198006804999,-24.4593928224207,3.99807667542379e-132,1.06965492070448e-130,"Down"
"YHR216W",5594.42064560305,-1.74561302762245,0.271378273940687,-6.43239785659472,1.2560643897899e-10,3.97932290874735e-10,"Down"
"YIL165C",1361.69366686185,-1.80425155843203,0.0654206248084995,-27.579246815717,1.97411011273423e-167,7.20493135942425e-166,"Down"
"YIL164C",1904.8562947097,-1.96863052569653,0.0639767834665692,-30.7710144059561,6.40204643496592e-208,3.08568864048663e-206,"Down"
"YIL163C",174.585806331566,-1.93793908962642,0.148549057895458,-13.045785123661,6.71615375994184e-39,6.13687334880937e-38,"Down"
"YIL121W",12681.4007579792,-1.657394296023,0.0412806819511491,-40.1493923473536,0,0,"Down"
"YIL119C",3716.96047051053,-1.03496768396189,0.0674652114560392,-15.3407609881469,4.08379358067141e-53,4.98744152192636e-52,"Down"
"YIL117C",3153.23172707409,-1.44295441009273,0.0586251499123841,-24.6132319021656,9.11654296011762e-134,2.49185507576548e-132,"Down"
"YIL116W",13727.6981178302,-1.31925001510858,0.0543379036428775,-24.2786329001395,3.29688133777419e-130,8.56646451304783e-129,"Down"
"YIL074C",23114.6767706992,-3.18125560145573,0.0815803945744371,-38.9953446296834,0,0,"Down"
"YIL073C",1978.86286494071,-1.66994792224217,0.070831759108267,-23.5762593399614,6.75404476231491e-123,1.67893852871088e-121,"Down"
"YIL046W",8701.73989135182,-1.13871623258721,0.0466381620606221,-24.4159757219219,1.15721060743757e-131,3.08296530605943e-130,"Down"
"YIL009C-A",1598.07116268895,-1.33652697222417,0.0648779526795518,-20.6006342220077,2.70872414558175e-94,5.29501060532606e-93,"Down"
"YIR017C",6331.96601008826,-2.58896379210404,0.0899642041486647,-28.7777101637648,4.07792966727444e-182,1.68287894896541e-180,"Down"
"YIR034C",9022.51271298907,-2.06748173216204,0.0474511553770652,-43.5707353326392,0,0,"Down"
